Antiguedad,Nro_pisos,Dormitorios,Area_constr_m2,Area_total_m2,Precio
3,3,4,402,362,650000
3,2,4,265,200,600000
3,3,4,536,237,580000
3,2,4,294,350,530000
3,2,3,132,216,430000
3,2,5,500,730,1090000
3,2,4,500,730,1100000
3,2,3,212,287,415000
9,2,4,330,335,590000
5,3,5,797,1425,1050000
1,2,3,190,400,230000
3,2,5,410,1232,1200000
3,3,4,241,241,395000
3,2,3,395,1200,1300000
3,2,5,400,1364,1200000
3,3,5,315,315,585000
3,2,5,665,2480,1600000
8,3,4,300,300,530000
3,3,5,300,192,410000
2,2,4,400,1200,1100000
3,2,5,943,1603,3500000
3,3,4,270,200,340000
1,2,4,600,530,850000
1,2,4,469,906,1750000
3,3,4,363,203,460000
3,2,5,556,515,950000
3,3,3,168,160,485000
3,2,4,345,402,438000
2,3,4,300,440,579000
4,1,4,442,1002,1950000
5,2,4,289,359,500000
4,2,4,353,1150,850000
1,2,3,350,465,740000
2,3,5,320,430,505000
3,3,4,330,160,355000
1,2,4,259,282,495000
2,3,4,240,174,340000
3,2,4,391,1016,1300000
2,2,3,196,160,355000
1,3,5,355,532,550000
3,3,5,470,511,695000
2,3,5,252,166,370000
4,2,4,348,1014,1800000
5,2,3,420,600,870000
6,3,5,275,200,335000
1,3,4,260,192,385000
1,3,4,280,280,365000
3,2,4,400,1250,1450000
1,2,3,330,385,380000
2,2,5,180,160,319900
1,3,4,470,502,945000
3,1,3,285,700,900000
3,1,4,530,1478,1750000
1,3,4,470,502,940000
1,3,4,400,700,890000
3,3,4,950,600,1550000
1,1,3,350,700,950000
3,3,4,620,1518,1900000
3,2,5,520,1440,2000000
4,3,4,269,300,470000
2,3,5,420,234,435000
9,2,3,290,300,475000
4,2,4,400,1015,870000
7,2,5,430,1600,1279000
2,2,3,232,191,368000
3,2,5,367,616,850000
9,2,4,341,403,460000
1,2,4,300,259,520000
8,2,3,270,530,740000
3,3,4,310,160,355000
1,3,5,353,353,348000
4,2,4,532,1400,1465000
3,1,4,521,1017,1200000
1,2,4,650,1134,1500000
2,2,3,210,210,335000
1,2,4,298,556,630000
2,2,5,500,1000,1500000
1,3,4,239,160,330000
1,2,3,270,513,589000
1,1,4,232,232,370000
2,3,3,279,360,430000
6,3,5,1120,1311,3180000
3,3,3,245,245,285000
2,3,5,325,300,399000
3,3,5,342,340,660000
1,2,5,480,1289,1600000
2,2,4,425,580,718000
3,2,5,420,750,1050000
1,2,4,450,2500,3000000
2,2,4,345,1281,2199000
6,3,3,350,465,740000
2,3,5,260,420,350000
3,3,4,240,160,340000
1,2,4,360,465,740000
6,2,3,268,303,590000
4,3,5,321,300,510000
3,3,4,354,323,650000
3,3,4,346,338,650000
3,3,4,354,331,660000
1,3,5,298,298,360000
3,2,4,380,328,500000
3,2,5,655,2480,1400000
2,3,3,607,848,900000
2,2,4,390,805,925000
2,3,5,950,950,1550000
3,2,4,306,338,480000
3,2,3,711,1074,1350000
3,3,5,305,384,585000
3,2,4,630,630,960000
3,3,4,190,255,370000
3,2,4,267,500,530000
4,2,4,350,350,650000
3,2,4,396,544,690000
2,3,3,250,173,340000
3,2,4,366,490,780000
3,2,5,230,1148,880000
3,2,5,600,600,900000
3,2,5,290,850,940000
3,3,5,312,312,950000
3,2,4,600,804,980000
3,2,3,274,710,1035000
3,2,4,487,1016,1400000
3,2,4,700,1786,1620000
3,2,5,380,1000,1380000
3,2,5,2000,2000,3000000
1,2,5,507,699,1400000
1,2,4,350,700,980000
3,2,4,510,1002,1700000
2,3,5,330,220,500000
2,3,4,300,259,520000
2,2,5,600,1140,1369000
3,1,4,500,1000,1390000
3,3,5,255,166,340000
3,2,3,251,317,365000
1,2,4,272,272,369000
3,3,5,213,160,320000
9,2,4,261,310,500000
3,2,5,1323,1323,950000
2,2,4,299,312,515000
8,2,5,445,300,500000
3,4,5,516,516,390000
3,2,5,460,640,1200000
3,3,5,372,472,580000
3,2,3,263,183,400000
2,2,5,250,210,385000
3,3,5,470,511,720000
2,3,4,235,165,433000
3,2,4,240,240,279000
3,2,3,307,300,768000
2,2,4,330,331,420000
3,2,4,289,359,530000
3,2,4,260,300,630000
3,2,5,490,1000,1200000
3,2,4,440,600,1250000
3,3,3,280,250,560000
1,2,4,300,500,560000
3,3,4,160,160,300000
2,2,3,232,192,370000
3,2,4,380,318,570000
1,3,3,200,160,350000
1,2,3,280,300,535000
2,3,5,280,200,405000
2,2,4,355,371,560000
1,2,4,510,508,850000
9,2,5,450,1000,1150000
7,3,4,282,307,620000
3,3,5,288,372,650000
2,4,5,350,350,419000
3,2,5,363,600,850000
3,2,4,364,431,450000
4,1,4,460,1200,1350000
3,2,5,170,160,245000
3,2,4,1364,1364,1400000
3,3,4,300,221,495000
1,2,4,290,315,620000
1,2,4,600,1150,1500000
1,3,5,430,791,675000
2,4,5,300,160,390000
3,2,4,332,402,460000
3,3,4,250,180,400000
5,2,3,148,258,265000
5,1,3,250,450,580000
1,2,4,720,1050,1600000
1,2,4,362,527,750000
2,1,4,350,700,900000
9,3,5,302,300,590000
2,2,5,641,2000,1250000
3,2,4,338,340,670000
3,3,5,480,300,500000
3,2,4,391,686,1200000
3,2,5,500,1400,2100000
3,3,4,326,318,440000
5,2,5,470,525,750000
3,2,4,400,800,799000
1,2,5,390,1098,1480000
9,2,5,340,402,500000
3,2,3,193,193,350000
3,1,3,462,1124,1100000
1,2,3,278,512,615000
1,1,4,462,1140,1250000
2,2,4,250,290,615000
3,3,5,600,1200,797900
3,2,5,322,294,490000
3,3,5,399,399,560000
1,2,4,320,450,749990
1,2,4,500,1000,1450000
2,2,4,400,1008,1400000
3,3,5,500,360,690000
3,2,4,251,300,528750
8,2,3,229,300,595000
1,3,4,348,294,410000
1,2,3,265,367,430000
4,2,4,400,600,970000
5,2,5,1000,1200,1700000
2,3,4,438,438,900000
5,3,3,219,219,259000
3,3,5,635,825,1150000
1,2,4,205,328,530000
3,4,5,550,550,750000
1,4,4,634,682,1890000
2,2,3,200,300,590000
3,2,5,480,1300,1600000
3,2,4,391,1016,1350000
3,2,5,1353,1740,950000
2,3,3,310,240,370000
3,3,4,465,750,950000
3,3,5,420,312,550000
1,3,5,300,300,299000
1,1,3,350,700,950000
1,3,4,400,700,890000
3,1,3,350,700,950000
3,2,3,300,700,950000
3,3,3,640,700,1900000
3,2,4,480,900,1850000
3,3,4,230,238,550000
4,2,4,350,360,499000
1,2,4,300,506,530000
3,2,3,211,453,595000
2,2,5,600,1060,820000
2,2,5,250,1000,680000
6,2,3,237,512,638000
1,2,3,173,247,415000
1,3,5,447,560,630000
1,3,4,330,260,430000
2,2,5,450,1150,1400000
1,3,5,471,371,580000
1,2,4,455,1180,1600000
1,2,4,324,1127,980000
2,3,4,268,190,380000
1,2,5,423,1423,1800000
2,2,4,120,310,240000
3,2,3,256,1904,700000
1,2,3,190,148,255000
9,2,3,217,217,405000
2,3,4,450,700,920000
3,3,5,324,433,490000
3,3,4,340,340,690000
1,3,3,150,378,445000
3,3,4,700,700,890000
3,2,5,301,301,350000
3,2,4,126,300,510000
2,2,4,280,1000,780000
1,3,5,476,476,940000
2,2,3,470,486,580000
3,5,5,500,650,850000
1,3,5,268,620,320000
3,3,4,220,220,250000
3,4,4,280,320,350000
2,2,4,338,364,670000
8,2,4,240,300,550000
5,2,5,415,500,498000
2,3,4,320,556,720000
3,2,4,477,833,790000
3,3,4,607,847,900000
2,2,5,366,366,449000
3,2,5,363,600,800000
3,3,3,196,196,290000
3,2,5,420,1003,980000
3,2,5,650,1299,1080000
1,1,3,153,237,260000
3,1,4,402,2535,2155000
1,2,4,320,467,760000
1,2,3,300,440,580000
3,2,5,400,617,420000
9,3,4,443,450,799000
3,2,5,363,600,950000
2,2,5,335,604,775000
4,2,5,900,3694,3694000
3,2,4,243,160,300000
1,2,4,500,1000,1250000
3,3,4,260,200,335000
1,1,5,600,1150,2300000
3,2,5,268,940,920000
3,2,5,375,375,830000
3,2,5,542,2000,2800000
3,2,4,391,1016,1350000
6,2,4,334,343,639000
3,2,5,700,1150,1890000
3,2,4,232,301,455000
3,4,3,278,278,400000
5,2,3,397,1396,780000
2,3,5,325,300,399000
2,2,5,335,475,895000
2,3,5,325,300,399000
2,3,5,325,300,399000
3,2,5,600,700,800000
1,2,4,628,628,1339000
1,2,4,455,1180,1600000
1,3,3,285,250,640000
1,2,4,420,840,799000
4,2,4,350,360,499000
1,2,3,313,326,690000
1,2,4,380,1115,2100000
3,2,5,1422,1422,800000
2,3,5,325,300,399000
1,3,5,392,388,815000
3,2,5,390,1160,850000
3,2,5,800,1250,1500000
3,3,5,400,544,690000
3,2,4,376,580,750000
2,2,4,500,1500,1300000
1,2,4,850,1000,1600000
3,2,5,600,1000,1500000
1,3,3,350,465,740000
2,3,5,300,300,385000
3,3,5,285,205,370000
3,4,5,330,330,360000
9,2,4,250,275,530000
1,2,4,314,300,580000
9,2,4,215,725,850000
4,2,1,310,590,1350000
1,2,4,300,580,980000
2,2,4,530,610,720000
4,2,5,460,860,1150000
2,3,3,279,360,430000
2,2,4,450,1162,1600000
3,3,5,500,1231,1300000
3,2,5,515,1477,1600000
1,2,5,420,1000,1080000
3,2,4,300,300,590000
4,3,5,780,1117,1300000
1,2,4,420,600,1080000
5,2,4,267,366,495000
3,2,5,1198,1198,1250000
4,2,4,420,500,498000
7,2,4,190,190,200000
3,3,5,301,470,850000
2,1,4,326,528,1250000
6,3,3,178,178,399000
9,2,4,372,402,460000
3,3,3,184,184,350000
3,2,4,450,1100,850000
4,2,4,363,600,900000
1,2,3,300,450,750000
2,2,5,2640,2640,2470000
3,3,5,450,1300,1090000
1,2,5,1080,932,1000000
3,2,5,300,500,725000
1,3,4,489,489,725000
8,3,5,690,1080,2090000
8,2,4,235,220,360000
3,2,3,258,258,267800
3,2,5,160,284,390000
3,2,5,240,120,238000
1,2,5,600,1350,1900000
2,1,5,400,1002,1200000
3,2,4,300,520,830000
3,2,4,324,1127,980000
3,3,5,300,349,730000
2,2,5,650,650,1200000
2,1,5,400,1050,1300000
2,2,5,400,544,740000
1,2,3,180,170,325000
1,3,4,440,336,550000
3,3,4,268,182,350000
2,3,5,250,200,399990
1,3,4,220,160,330000
1,3,5,312,250,430000
3,2,4,360,379,670000
3,3,5,330,305,530000
1,3,4,222,160,385000
3,2,3,222,160,325000
1,2,4,230,192,368000
1,2,3,350,870,1250000
3,2,4,350,550,790000
9,3,4,450,450,760000
3,2,5,450,1289,1950000
6,2,5,180,400,399000
1,1,3,350,700,965000
2,2,4,280,580,735000
3,2,4,420,1000,1600000
3,2,4,400,600,930000
2,2,4,403,1234,1450000
1,2,4,240,300,398500
3,3,4,230,239,475000
3,1,4,320,451,530000
3,2,4,410,426,1100000
1,2,4,470,1000,2500000
2,2,3,200,727,1000000
1,2,5,500,1000,1400000
1,2,3,700,3328,3328000
3,2,4,400,900,1100000
3,2,5,900,1323,950000
1,2,5,475,720,720000
3,3,3,172,69,240000
3,2,4,350,550,790000
1,2,4,500,1000,1400000
3,2,4,465,750,950000
4,2,4,703,2580,2580000
1,3,5,410,300,485000
3,2,5,400,617,500000
1,1,4,400,1018,1450000
3,2,3,340,527,675000
3,3,3,172,69,240000
9,2,4,262,403,490000
2,2,3,290,320,490000
2,3,5,450,1306,1250000
3,2,4,564,351,460000
3,2,3,210,210,350000
2,2,5,450,641,1250000
3,2,4,375,402,485000
1,2,4,500,1000,1450000
2,2,4,240,300,470000
2,2,3,365,375,575000
3,2,3,322,368,440000
3,2,4,650,512,720000
1,2,3,258,300,370000
1,3,4,165,160,290000
1,2,4,290,506,530000
4,2,5,600,650,1150000
3,3,5,374,300,550000
2,3,5,215,350,515000
1,2,5,600,2137,1432125
3,2,3,250,303,400000
7,2,4,300,300,530000
3,2,4,300,1050,1450000
1,2,3,330,720,990000
3,3,5,168,90,250000
3,3,4,210,160,340000
2,2,5,200,300,505000
2,2,5,214,214,319000
3,4,3,240,160,350000
3,3,4,384,395,899000
2,3,4,290,312,430000
3,3,5,230,164,340000
3,1,3,462,1124,1100000
3,2,3,400,890,990000
5,3,4,450,720,940000
2,2,5,214,214,319000
3,3,4,300,300,490000
3,2,3,607,847,900000
5,2,5,630,1898,1898000
5,2,5,630,1898,1898000
2,2,3,371,1082,1250000
3,3,5,448,448,480000
3,2,3,607,847,900000
1,2,4,500,1000,900000
1,2,4,400,600,709000
1,1,3,300,700,840000
1,2,3,250,300,580000
3,2,3,290,1070,1200000
2,1,3,300,450,530000
3,2,4,300,451,780000
2,2,3,524,1020,1290000
1,2,5,484,450,1150000
2,3,5,220,270,350000
8,2,3,390,800,1600000
1,2,3,404,570,1200000
3,1,4,485,2500,2000000
3,2,5,370,1502,950000
3,3,4,572,2500,2000000
3,2,3,450,820,660000
3,2,4,800,1960,1500000
3,2,4,450,1000,1650000
3,2,4,350,340,525000
3,2,4,290,360,590000
3,2,4,330,305,530000
3,2,4,425,1150,990000
3,3,4,351,287,830000
3,2,4,350,410,599000
3,2,4,320,420,585000
3,3,3,255,160,360000
3,3,4,464,300,940000
3,2,3,435,1103,1350000
3,2,5,500,3694,3640000
3,2,3,500,1500,2250000
3,2,4,560,1000,2155000
3,2,4,400,1500,1200000
3,2,3,340,700,1050000
3,3,5,435,450,790000
3,3,5,380,412,530000
3,2,4,300,340,540000
3,3,5,300,200,470000
3,2,3,224,315,550000
3,2,4,450,1220,1260000
3,2,5,650,1299,1180000
3,2,4,337,1000,890000
3,2,4,340,380,650000
3,2,3,290,579,750000
3,3,5,240,420,480000
3,2,5,580,650,1300000
3,2,3,225,300,650000
3,2,3,320,323,610000
3,2,4,500,600,1000000
3,2,2,433,475,575000
3,2,4,415,580,718000
3,2,4,261,436,540000
3,2,3,374,1200,1100000
3,2,4,351,330,670000
3,2,5,500,1350,1090000
3,2,3,395,709,1050000
3,3,3,225,150,410000
3,3,5,371,471,580000
1,1,5,500,1000,1450000
2,3,5,309,242,400000
2,3,5,325,300,540000
1,1,4,300,1050,1650000
1,2,4,270,730,750000
2,1,4,400,1018,1500000
5,2,5,1000,1200,2000000
3,2,3,263,300,550000
2,3,5,204,129,270000
3,3,5,550,550,750000
3,3,5,380,193,380000
2,3,4,600,1300,1150000
3,2,3,423,720,525000
3,2,4,215,511,490000
3,2,4,580,1015,2100000
3,2,5,235,294,490000
1,2,4,489,909,1400000
2,3,4,280,280,350090
2,2,3,211,453,595000
3,2,4,521,1017,1350000
3,2,4,521,1017,1300000
7,2,4,350,550,800000
2,1,5,410,1000,1200000
2,1,5,410,1000,1200000
2,1,5,410,1000,1200000
4,2,5,300,1000,1800000
6,1,4,423,1085,1950000
2,3,3,400,464,980000
3,2,3,371,1081,1300000
1,1,4,1140,1500,1250000
3,2,5,153,153,250000
3,3,5,215,215,165000
2,1,3,500,1050,1380000
6,3,5,480,400,1000000
3,3,5,421,469,940000
3,2,5,315,316,600000
3,2,5,303,333,638000
1,2,5,350,540,880000
2,2,4,1000,1000,1258000
1,3,4,800,800,679000
2,2,5,797,628,1050000
3,2,5,757,988,1500000
3,2,5,213,244,319000
3,2,4,200,385,660000
2,2,3,90,190,260000
3,3,4,600,600,1323000
1,3,4,350,300,490000
2,2,4,221,300,490000
3,3,4,181,193,234900
4,2,4,321,300,500000
2,3,4,430,430,430001
3,2,5,684,9300,7000000
9,3,4,240,240,450000
9,1,2,70,86,130000
3,2,3,118,148,265000
1,2,4,500,1000,1450000
1,3,5,250,250,300000
7,4,4,540,1000,1950000
4,2,4,700,1000,990000
3,2,4,411,750,813000
2,3,5,386,305,585000
3,2,4,545,650,1250000
