Antiguedad,Nro_pisos,Dormitorios,Area_constr_m2,Area_total_m2,Precio
1,2,3,270,512,595000
5,2,4,270,300,520000
3,2,3,333,583,585000
4,2,4,480,1006,1500000
1,2,5,1500,1200,2800000
9,2,4,430,600,1150000
1,2,3,400,850,980000
1,2,4,288,350,515000
7,2,5,800,1000,1750000
8,2,3,229,300,595000
9,2,5,570,791,680000
1,3,5,484,450,1150000
2,2,4,450,1200,1150000
3,2,4,285,1015,870000
3,2,4,600,1000,1150000
1,1,4,482,2000,3600000
2,2,4,340,1000,1200000
1,3,5,495,495,1250000
4,2,5,443,1001,1800000
7,2,4,283,307,580000
4,2,5,780,1117,1300000
2,2,4,593,1892,1500000
1,2,5,425,778,1100000
7,2,4,289,359,530000
1,2,4,369,464,720000
4,2,3,377,1029,1700000
2,2,3,320,546,650000
2,2,3,249,304,650000
1,2,4,245,313,478900
1,2,4,355,532,510000
2,2,3,1850,1780,350000
1,2,4,354,386,670000
7,2,4,325,1281,2200000
1,3,4,300,300,485000
7,2,3,397,855,750000
1,2,3,268,845,1100000
4,2,4,371,1040,790000
1,2,4,350,550,850000
1,2,4,362,273,770000
3,2,4,300,850,940000
1,3,5,395,400,750000
2,3,3,640,680,920000
7,2,3,369,465,640000
2,2,4,460,1060,1800000
6,2,5,546,1000,1350000
7,1,4,500,1170,1600000
3,2,4,735,735,1100000
5,2,5,1074,1084,1950000
3,3,3,969,2397,3000000
3,2,4,354,330,600000
2,3,4,354,331,670000
2,2,4,322,558,720000
1,2,4,630,1165,1200000
1,2,4,580,1800,750000
1,2,4,369,369,750000
2,2,4,332,330,595000
5,2,4,300,300,600000
4,2,3,204,220,480000
7,2,4,400,700,900000
3,2,4,390,1138,1400000
1,2,4,570,1150,949000
2,3,3,190,120,310000
1,3,5,400,600,705000
2,2,3,380,1050,1492000
1,2,4,700,1200,1780000
1,2,4,525,1231,2100000
2,1,4,600,1100,1150000
1,2,4,283,314,780000
1,2,4,283,314,750000
4,2,4,300,300,530000
6,3,4,800,500,1350000
1,3,4,503,237,550000
2,3,4,312,250,400000
1,2,4,520,1231,2100000
3,2,3,312,700,890000
1,2,4,484,463,1250000
2,3,3,190,120,310000
9,2,4,318,307,530000
1,2,3,450,600,1100000
3,2,4,288,1242,1117800
2,2,3,273,709,1025000
1,2,3,350,600,920000
8,2,5,550,1000,2700000
1,2,4,500,1140,2000000
7,2,4,413,1820,4700000
2,2,4,593,1892,1590000
6,2,3,226,500,750000
3,2,1,780,1117,1650000
5,2,3,330,500,745000
1,3,4,495,235,550000
1,2,4,280,340,540000
1,2,5,1200,1200,1800000
7,2,4,640,736,1700000
3,2,4,600,1192,2400000
7,2,4,300,300,530000
2,2,4,239,463,620000
1,3,5,266,374,450000
1,3,4,369,369,680000
3,3,4,262,253,450000
2,2,4,322,558,720000
1,2,4,380,780,950000
3,3,5,350,350,670000
6,2,3,342,300,530000
1,2,4,520,745,870000
4,2,4,550,1050,2000000
3,2,4,500,1274,1050000
2,2,3,277,380,695000
2,2,3,277,380,695000
1,2,4,354,331,670000
1,2,4,324,354,670000
1,3,4,535,270,580000
1,2,4,220,306,460000
1,2,4,220,306,460000
1,2,4,480,750,950000
4,2,4,277,366,510000
6,2,4,316,427,750000
1,2,3,268,500,850000
8,2,4,240,320,650000
1,2,4,332,1005,1300000
2,3,4,500,680,1000000
3,2,4,416,452,780000
2,2,4,350,700,1380000
2,1,3,440,1250,1380000
3,2,3,360,1250,950000
1,2,4,469,906,1750000
2,2,5,430,1135,1125000
2,2,4,500,1800,1600000
2,2,4,700,1140,1900000
3,2,4,220,340,540000
1,2,4,315,330,650000
1,2,4,242,400,530000
4,2,4,286,1140,1600000
8,2,5,675,945,1400000
3,3,4,298,298,470000
6,2,4,374,475,750000
2,1,4,360,1050,1000000
3,2,5,427,612,750000
1,2,3,230,300,575000
1,2,4,500,1025,800000
2,2,4,230,160,300000
1,2,4,361,450,1100000
2,2,4,750,1080,2000000
4,2,3,1060,1060,1150000
1,2,5,500,1307,1200000
1,2,4,550,1000,880000
1,2,3,326,313,690000
2,3,3,225,157,380000
1,2,4,500,1000,1450000
3,2,5,363,600,850000
2,2,4,381,1094,875000
2,2,3,400,1000,1400000
4,2,4,250,402,700000
2,2,3,400,700,1200000
2,1,4,500,1050,1475000
1,2,3,271,517,770000
7,2,4,450,560,950000
1,3,3,193,174,348000
1,3,4,503,237,580000
3,2,3,700,1064,1300000
3,2,3,684,9300,8000000
2,2,4,450,1100,1300000
8,2,4,254,308,425000
2,2,5,440,550,1150000
4,2,3,269,1168,1000000
1,2,5,517,1000,1090000
1,2,4,260,290,500000
3,2,5,316,315,600000
2,2,3,611,1080,1250000
3,2,3,588,1342,1800000
9,2,3,320,550,920000
9,2,4,258,310,595000
2,2,4,255,302,620000
5,2,4,394,322,720000
2,2,5,600,800,1900000
4,1,4,472,1000,1200000
2,3,5,430,500,780000
3,2,4,390,1011,1150000
2,2,4,350,1160,1450000
3,2,4,690,1190,1780000
1,2,4,500,1000,1100000
9,2,4,700,2800,3000000
1,2,3,210,510,750000
1,2,5,390,1097,1480000
1,2,4,320,500,780000
3,2,4,329,1776,1200000
1,2,4,836,1650,2200000
2,2,4,450,2400,1800000
9,2,4,600,1300,2100000
1,2,5,600,1000,1780000
1,2,5,1500,1200,2800000
1,2,4,470,600,550000
1,2,3,225,302,535000
1,2,4,500,1464,1300000
1,2,3,225,300,535000
2,2,5,578,1925,1590000
1,2,4,859,1011,1600000
1,2,3,220,302,550000
5,2,4,556,515,950000
1,3,4,470,502,940000
1,2,4,350,528,790000
1,2,3,320,550,920000
2,2,4,648,1117,1300000
1,2,5,400,1000,1040000
1,2,4,420,1135,1125000
1,2,3,435,1103,1350000
3,2,5,486,3694,3694000
4,2,4,950,600,1550000
3,2,4,620,1518,1900000
1,2,3,360,700,1400000
2,2,3,356,876,970000
1,3,3,640,700,1800000
1,3,4,400,750,890000
1,1,4,530,1478,1750000
1,2,4,480,900,1850000
1,2,5,452,1318,1550000
4,3,4,308,267,580000
2,2,3,500,2513,3125000
2,2,5,650,2137,1380000
1,2,4,470,600,950000
3,2,4,230,301,490000
2,1,3,479,1404,1500000
7,2,4,610,1240,1300000
7,2,4,350,315,485000
1,2,3,420,1016,1300000
3,2,3,374,1200,1100000
4,2,5,500,1050,1050000
2,3,4,354,333,640000
3,2,4,377,520,780000
9,2,4,490,620,745000
3,2,4,419,820,2500000
2,2,4,700,1080,1650000
3,2,4,665,1227,1500000
4,1,3,442,1002,1950000
2,2,4,406,1000,1200000
2,1,3,253,600,580000
3,2,5,367,616,1100000
6,2,5,1120,1311,3180000
2,2,4,540,1534,1900000
1,2,4,500,1000,1450000
1,2,3,500,1000,1450000
1,2,3,560,1404,1500000
3,2,4,354,330,640000
9,2,4,322,305,620000
1,2,5,600,2000,1900000
2,2,4,300,300,680000
3,3,4,300,270,580000
3,3,4,1000,520,1990000
3,2,4,414,1005,1250000
2,2,5,500,2849,1800000
1,1,3,362,1124,1200000
4,2,4,420,1298,2100000
1,2,3,343,1265,1300000
4,1,3,320,1422,850000
3,2,4,380,1150,2550000
3,2,4,600,600,1050000
3,2,4,550,529,1200000
3,2,4,475,2350,3290000
3,2,4,470,1083,1650000
1,3,5,320,378,435000
1,2,4,282,300,520000
2,2,5,390,600,1500000
1,2,4,260,310,525000
4,2,4,227,300,480000
1,2,4,285,578,950000
3,2,5,500,1350,1850000
3,2,3,334,302,500000
3,2,3,550,555,1200000
3,2,5,450,1138,1125000
1,2,4,700,1140,2000000
3,2,4,352,600,950000
1,2,4,357,464,720000
1,2,4,700,1190,1780000
1,2,4,500,1000,1450000
3,3,4,1000,650,1700000
1,2,5,1500,3960,4674000
3,2,3,545,465,1200000
3,2,4,484,463,1150000
2,2,4,178,173,350000
3,2,4,1365,1365,1360000
3,1,3,326,1800,385000
3,2,4,332,402,490000
3,3,3,207,160,340000
2,3,4,258,258,375000
3,2,4,450,490,1100000
1,3,5,472,372,620000
3,3,5,300,252,400000
3,1,4,400,1096,1500000
3,2,5,300,200,399000
3,2,5,500,641,1280000
4,2,4,520,623,1330000
4,2,4,428,1122,1570000
3,2,4,470,1083,1300000
3,2,4,295,1056,1070000
1,2,5,528,528,610000
1,3,4,536,237,575000
3,2,3,340,527,680000
3,2,4,450,1218,1390000
3,2,4,352,326,680000
3,1,4,425,580,790000
3,3,5,462,484,1100000
3,2,4,337,364,670000
3,3,5,420,420,1125000
3,2,3,417,1016,1290000
3,2,4,500,1000,1690000
2,2,3,520,1040,1290000
3,2,4,312,362,530000
2,2,5,600,1450,1190000
3,2,4,520,1786,1600000
3,2,4,300,1092,1100000
3,3,5,372,355,650000
3,2,4,267,500,580000
3,4,4,310,1155,950000
3,2,4,320,320,450000
3,2,4,485,685,860000
3,2,4,400,1068,1500000
3,2,4,700,1786,1600000
3,4,5,350,200,500000
3,2,4,290,578,950000
3,3,3,230,160,270000
1,2,4,347,1187,1100000
1,2,4,323,503,450000
5,2,3,225,160,405000
2,1,4,350,1100,1130000
2,2,4,280,300,440000
5,2,4,400,1440,1269000
3,2,5,320,310,650000
3,2,4,490,490,850000
3,2,5,370,1050,890000
2,2,4,440,510,1020000
2,2,5,323,323,450000
1,2,3,290,700,530000
1,2,4,472,370,580000
3,2,4,352,282,800000
3,1,4,222,222,350000
3,2,4,400,1018,1500000
1,2,3,364,527,700000
3,2,4,470,1000,2500000
3,3,5,471,511,790000
2,2,4,350,798,720000
3,3,3,317,250,770000
3,3,4,407,435,720000
3,3,4,402,362,700000
3,2,3,301,344,680000
1,2,4,303,332,680000
1,2,5,330,618,596000
3,2,5,232,232,360000
1,2,5,250,320,500000
2,2,3,220,375,470000
1,2,4,450,1265,1600000
3,2,4,479,1404,1200000
2,2,4,520,1295,1600000
6,2,3,409,500,620000
2,2,4,288,320,620000
1,3,4,520,1160,930000
3,2,5,380,800,730000
2,2,4,312,363,560000
1,2,4,242,292,455000
1,2,4,515,1583,1490000
9,2,4,551,1196,2200000
1,2,3,423,1230,1600000
1,3,4,454,781,1510000
3,3,4,400,330,710000
2,2,5,450,1006,1150000
1,2,4,400,650,830000
2,2,5,130,160,300000
3,2,5,580,2637,3032550
1,2,4,338,324,670000
1,2,4,420,495,790000
1,2,4,400,1340,1150000
2,3,4,337,314,550000
3,2,5,352,1271,1652300
1,3,5,480,1036,1150000
1,2,4,305,1074,330000
1,2,3,225,300,520000
2,2,3,300,700,840000
1,2,5,475,1213,1550000
6,2,3,280,300,700000
2,2,3,249,462,1250000
9,2,4,387,600,1180000
2,2,3,252,528,1400000
8,2,3,250,300,650000
3,2,4,370,600,1345000
4,2,3,490,1404,1350000
2,2,5,517,1000,1090000
3,3,4,350,350,670000
3,3,4,350,350,670000
1,2,4,289,359,500000
3,3,5,350,222,420000
3,2,4,470,600,920000
4,2,5,495,1000,2000000
1,2,5,331,455,650000
1,2,4,232,286,630000
3,2,4,400,600,735000
1,3,5,500,600,1500000
1,3,5,500,600,1500000
2,2,3,500,1300,1180000
2,3,4,280,220,350000
3,2,4,335,475,825000
1,2,4,700,1190,1780000
2,2,4,412,2000,1250000
2,2,4,650,1980,2000000
1,2,3,357,465,740000
1,2,5,280,580,850000
2,2,5,500,1200,2100000
2,2,4,450,1100,1600000
1,2,4,500,1000,1450000
9,2,3,258,309,610000
1,2,3,303,632,745000
1,2,4,558,1200,2200000
3,2,4,536,1413,1600000
3,2,5,800,3700,3684000
1,2,4,359,1289,1200000
3,2,5,1000,3684,3684000
3,2,4,629,1249,1380000
2,2,3,320,1000,1200000
1,2,3,225,300,520000
9,2,3,330,600,1150000
4,2,3,519,1168,1150000
3,2,3,293,500,799000
3,3,5,347,160,335000
7,2,5,1000,1338,18750000
1,3,4,484,434,1150000
2,2,4,400,645,880000
3,2,3,371,1081,1300000
1,2,3,326,300,600000
1,2,4,800,1000,1600000
2,3,4,260,229,499000
1,2,3,210,189,420000
3,2,4,420,1000,1500000
7,2,4,307,307,420000
2,3,5,330,180,250000
2,2,4,368,940,1100000
6,3,4,450,450,450000
5,2,4,335,475,825000
7,2,5,433,1000,1200000
1,3,4,350,350,630000
3,2,3,371,1081,1350000
3,2,4,500,2500,3250000
1,2,4,324,1187,1150000
3,2,4,335,475,940000
5,2,4,335,475,825000
3,2,4,450,494,980000
3,2,4,335,475,890000
4,3,3,216,95,250000
2,3,3,310,240,370000
3,3,4,1000,2540,3302000
1,2,3,198,339,485000
5,2,4,340,301,465000
3,3,4,374,300,561000
3,2,3,406,340,609000
5,2,4,450,1000,830000
5,2,4,329,301,465000
3,3,5,387,315,650000
1,2,4,355,330,600000
3,2,5,332,1014,850000
3,2,5,332,1014,850000
3,3,5,387,315,650000
3,1,4,280,1000,680000
9,2,4,280,300,550000
4,2,3,390,800,1300000
9,2,3,262,403,510000
3,2,4,487,1016,1350000
3,2,3,374,1200,1100000
1,2,4,700,1140,2000000
4,2,5,1150,1250,1680000
5,2,3,208,339,480000
1,2,4,357,464,720000
1,2,3,250,300,580000
1,2,4,346,386,670000
1,2,4,361,379,670000
3,2,4,350,850,1050000
2,2,5,433,1000,1400000
2,2,4,450,490,850000
1,2,4,350,511,510000
4,2,4,400,320,710000
7,2,4,377,500,740000
3,2,4,550,1008,1700000
2,3,4,354,324,670000
2,3,4,346,339,670000
3,2,4,364,431,450000
3,2,3,350,705,850000
1,2,4,369,630,787000
1,2,4,568,900,790000
9,2,3,450,800,1300000
3,2,3,300,1400,1400000
2,2,4,382,600,1470000
2,3,4,591,1058,1150000
1,2,3,330,1260,1260000
3,2,4,400,400,580000
1,2,5,450,1200,780000
8,2,3,258,309,595000
1,2,3,380,312,545000
1,2,3,380,312,5450000
8,2,4,629,1249,1390000
3,2,4,280,400,700000
7,2,5,295,225,480000
9,2,4,240,300,550000
2,3,3,450,155,625000
9,2,4,307,323,600000
1,2,4,355,371,570000
6,2,4,270,300,587000
1,2,4,350,1050,1050000
3,2,4,312,286,620000
2,3,3,343,300,672000
1,1,5,500,1000,1300000
2,3,5,450,220,575000
2,2,4,550,1200,1100000
1,2,4,700,1140,1990000
3,2,5,400,1472,1650000
1,2,3,280,628,820000
1,2,4,715,1352,2700000
2,1,4,434,1263,1400000
1,2,4,716,1140,2160000
3,3,4,260,173,410000
1,2,4,370,1050,890000
3,3,4,400,380,485000
4,2,3,204,220,520000
2,3,4,450,650,870000
2,3,4,450,650,870000
1,2,4,500,1000,1400000
3,2,2,380,464,540000
9,2,4,225,300,550000
1,2,4,500,1000,1450000
3,1,4,337,1104,1400000
9,2,4,258,310,595000
2,3,5,550,350,699000
2,2,5,322,558,720000
1,2,4,500,3500,1150000
9,2,4,337,381,600000
1,4,3,608,921,1450000
7,2,4,1000,2300,3700000
2,2,5,540,1110,2150000
1,2,3,390,800,1300000
9,2,3,555,1020,1200000
2,3,3,600,847,1100000
7,2,4,500,1170,1800000
3,3,3,390,320,700000
1,2,4,350,900,3500000
4,2,3,390,800,1300000
2,2,5,285,1000,1300000
1,2,4,496,1265,1600000
2,3,5,293,263,459000
4,2,3,390,800,1300000
7,2,5,560,1000,1685000
2,2,3,245,648,499000
2,2,5,760,1384,2100000
9,2,4,258,309,595000
1,2,3,320,634,796900
3,2,4,440,937,1350000
2,2,4,299,312,515000
3,2,5,728,2352,3000000
1,2,3,350,700,840000
2,3,4,220,119,435000
1,3,3,240,220,380000
1,2,4,359,1289,1260000
2,2,4,290,300,435000
9,2,5,620,1160,1650000
3,1,3,320,454,700000
1,2,4,480,1050,1550000
2,2,4,369,450,680000
1,3,3,310,240,370000
2,1,4,416,700,970000
9,2,4,269,317,647000
2,2,3,270,625,750000
9,2,5,300,335,640000
4,2,4,400,600,700000
3,2,5,500,1230,1400000
2,3,5,400,400,770000
8,2,3,263,300,600000
1,2,4,354,332,670000
8,2,5,800,2024,5000000
8,3,4,333,257,789000
7,3,3,217,178,418000
1,2,4,450,700,950000
3,2,5,800,3694,3694000
3,2,4,300,850,1050000
2,2,4,335,950,775000
7,2,4,257,315,530000
3,2,5,480,1690,1400000
1,2,3,343,1265,1150000
2,2,4,300,452,780000
2,3,3,363,296,780000
2,3,3,352,287,770000
2,2,3,440,615,990000
2,2,4,500,1180,1600000
2,2,4,319,621,745000
2,2,4,400,587,824000
2,2,5,370,480,780000
2,2,3,524,1020,1290000
3,3,5,394,346,1100000
4,2,3,390,1010,1500000
6,1,4,900,2250,3700000
6,2,5,570,1040,1140000
1,2,3,350,700,860000
7,3,3,560,454,980000
3,2,4,518,600,1323000
2,3,3,250,160,340000
9,2,3,218,360,610000
2,2,4,348,890,1050000
1,2,4,270,300,456000
1,2,4,362,527,760000
1,2,4,350,700,900000
1,2,3,400,1050,1800000
1,2,3,320,550,920000
1,2,3,320,550,920000
1,2,4,323,180,450000
3,2,4,289,600,580000
2,2,4,475,600,1370000
1,2,4,201,259,495000
1,2,4,201,259,495000
4,3,4,400,320,720000
4,2,4,500,2637,2505150
2,2,4,475,600,1370000
3,3,4,800,800,2500000
1,2,4,500,1300,1300000
1,2,5,1300,3100,3950000
2,2,4,468,1075,1200000
6,2,4,258,309,595000
2,2,4,450,1100,1450000
1,2,4,436,1795,2800000
3,2,3,308,739,1495000
1,1,3,220,500,650000
8,2,5,516,1000,1190000
6,2,4,400,1200,1400000
2,3,4,370,300,780000
9,4,5,543,630,1050000
8,2,3,285,180,498000
4,2,4,228,301,480000
3,2,4,247,300,490000
9,2,4,280,321,490000
3,2,4,250,320,640000
2,2,4,251,300,508000
3,3,3,196,160,360000
1,3,4,350,325,550000
1,2,4,366,495,750000
1,2,3,246,258,570000
1,2,4,469,906,1750000
6,2,5,900,1500,1900000
3,2,4,518,600,1470000
3,2,4,518,600,1470000
1,2,4,500,1000,1600000
3,1,4,390,1092,1800000
2,2,4,433,475,580000
9,2,3,584,1346,1400000
1,2,4,390,1011,980000
1,2,4,370,450,758000
9,2,4,484,463,1150000
1,5,3,729,2550,1950000
4,2,5,620,1744,1650000
1,3,5,473,509,830000
4,2,4,495,1265,1265000
1,2,2,320,550,920000
1,3,3,399,280,580000
2,2,4,334,728,1200000
4,3,5,300,300,420000
3,2,5,1100,1600,5000000
1,2,5,554,1000,1380000
7,1,5,836,1508,2000000
1,2,4,406,625,1100000
2,2,4,700,2331,2450000
2,2,3,600,847,1100000
3,2,4,510,1002,1550000
2,2,4,300,576,950000
1,2,4,357,463,740000
1,4,4,270,160,350000
9,1,3,400,1250,1490000
3,2,3,388,566,740000
2,2,4,500,1100,1600000
2,3,4,400,380,465000
1,2,4,362,530,840000
7,2,4,261,386,780000
1,2,4,430,1135,1125000
3,3,4,485,313,840000
3,2,5,711,1064,1300000
3,2,5,363,600,890000
3,2,3,500,1050,2200000
2,2,4,600,1100,1100000
7,2,4,640,736,1700000
1,2,4,250,285,515000
3,2,4,475,643,1445000
1,3,3,255,191,450000
1,2,4,700,1200,1680000
2,2,4,230,238,585000
2,2,3,139,272,480000
2,2,4,700,1450,3399000
6,2,4,670,1008,750000
6,2,4,227,301,520000
6,2,4,219,300,520000
3,2,5,570,1230,1400000
7,2,4,258,309,595000
1,2,5,469,906,1750000
1,2,3,400,800,750000
3,2,4,500,600,1370000
3,2,4,500,600,1470000
1,2,3,190,295,460000
8,3,3,212,300,495000
1,2,4,363,527,800000
3,2,4,335,475,890000
3,2,3,380,1200,1200000
9,2,4,307,323,620000
7,2,4,268,300,530000
2,2,5,500,1650,2150000
1,2,3,540,1008,1300000
3,2,5,603,1070,1750000
3,3,3,427,790,750000
2,2,3,350,511,610000
7,2,4,515,1580,1780000
1,2,3,400,890,1100000
4,2,3,390,800,1600000
8,2,4,500,815,1800000
4,2,4,3640,3640,3640000
1,2,3,200,330,550000
1,2,3,290,682,550000
1,2,3,550,1100,1100000
2,2,4,450,1138,1500000
3,3,4,240,340,540000
2,2,4,495,539,1100000
9,2,4,400,740,1700000
1,2,3,210,300,530000
2,2,4,700,1024,1400000
1,2,4,254,300,550000
2,2,5,370,1050,890000
1,2,4,700,1160,1900000
1,2,3,200,268,410000
6,2,4,480,750,950000
2,2,3,340,1100,1130000
1,2,3,250,300,720000
1,2,4,300,580,950000
9,3,4,241,240,450000
9,2,4,350,450,850000
1,2,3,400,890,1000000
1,2,5,280,580,1050000
1,2,4,357,463,790000
4,2,5,363,600,990000
1,2,5,650,650,1200000
1,2,4,465,750,950000
1,3,4,350,237,560000
1,2,4,500,1000,1450000
4,3,3,286,286,460000
1,2,5,684,9300,7000000
1,2,5,395,502,928000
4,2,5,500,3694,3694000
7,3,4,400,700,950000
2,3,4,345,220,485000
3,3,5,421,469,940000
1,2,4,290,1065,900000
1,2,4,204,233,490000
3,1,4,362,1151,1398000
3,3,5,421,469,940000
9,2,5,665,2481,1400000
3,2,5,450,2100,3150000
3,1,3,313,700,890000
3,2,3,416,511,610000
1,2,4,800,1111,1800000
2,2,3,300,1400,1200000
3,2,5,500,1650,1350000
3,2,5,400,1002,1200000
2,2,4,400,544,690000
3,2,3,360,1227,1500000
5,2,4,450,700,975000
1,2,4,800,1000,1600000
3,2,5,350,1690,1400000
3,2,4,197,400,590000
2,2,4,482,1124,1200000
1,2,3,250,309,600000
1,2,4,295,300,678500
4,3,5,380,411,530000
6,2,4,800,1200,2500000
7,2,3,402,301,750000
7,2,3,252,301,750000
7,2,3,252,301,750000
3,3,5,550,380,465000
1,2,3,247,258,440000
3,2,5,400,1025,1150000
2,2,5,452,1312,1600000
2,2,5,536,1413,1400000
2,2,4,500,3000,1500000
2,2,4,700,2529,3800000
2,2,5,578,1925,1590000
1,2,3,420,1060,1500000
4,2,5,1100,1258,1680000
2,2,3,350,1100,1100000
7,2,4,261,386,780000
3,3,5,481,481,1370000
7,2,4,335,335,640000
7,3,5,264,217,469000
2,2,3,400,500,620000
2,2,4,717,944,1200000
3,1,3,400,1050,1400000
3,2,4,278,900,950000
3,2,4,475,2350,3290000
2,2,3,249,304,650000
2,2,3,249,304,650000
1,2,5,500,1960,1900000
4,3,4,394,322,720000
4,2,4,420,1140,2100000
5,2,4,335,475,890000
3,2,4,329,850,990000
2,2,3,400,1400,1500000
3,2,4,450,1018,1450000
3,2,3,300,1350,1200000
1,2,3,325,475,745000
2,2,4,600,1100,1150000
2,2,4,600,1100,1150000
1,2,4,350,528,760000
1,2,4,366,495,790000
2,2,4,370,610,680000
3,2,5,450,1138,1125000
3,3,4,550,400,495000
2,2,3,300,1046,1280000
3,2,4,518,600,1323000
2,1,3,320,1040,1140000
1,2,3,325,475,745000
3,3,4,332,332,670000
3,2,3,340,500,1100000
3,2,4,580,1700,1880000
3,2,3,230,300,680000
1,2,4,800,1000,1800000
4,2,4,500,1042,1550000
2,3,5,385,286,475150
3,2,4,315,1050,2000000
3,3,3,330,225,525000
2,2,3,400,890,1250000
2,2,3,400,890,1250000
3,2,3,397,855,750000
1,2,3,470,1083,1650000
1,2,3,500,1619,2050000
7,2,5,750,1200,1350000
4,2,4,450,490,1050000
1,2,4,406,625,1100000
2,2,5,536,1413,1400000
2,2,4,450,1200,1390000
3,2,4,500,1250,1600000
1,2,3,300,360,570000
2,2,4,400,600,700000
6,2,3,225,164,418000
3,2,3,450,1265,1300000
3,2,5,537,1413,1600000
4,2,4,363,600,1300000
4,2,5,367,616,1100000
2,2,3,524,1040,1290000
3,2,3,470,980,1200000
7,2,4,420,600,1090000
1,2,4,280,370,590000
3,2,4,280,300,600000
2,1,4,400,1050,1475000
3,2,3,450,1060,1050000
1,2,4,450,2500,3000000
3,2,5,296,307,700000
3,2,5,232,538,420000
1,3,3,369,300,680000
2,2,5,220,600,690000
9,2,3,303,315,520000
8,3,3,153,115,290000
1,2,4,525,1231,2100000
3,1,5,600,1414,1400000
1,2,4,489,909,1590000
3,2,3,250,160,390000
2,1,4,600,1100,1150000
7,3,5,264,217,480000
8,2,4,440,600,1350000
1,3,3,278,96,410000
1,3,5,306,303,650000
2,2,3,289,600,580000
4,2,5,486,3694,3640000
1,1,4,450,1000,2000000
6,3,5,492,587,890000
4,2,5,750,1005,1780000
3,2,4,500,1180,2000000
1,3,3,300,300,480000
7,2,4,415,600,1190000
2,2,4,364,364,670000
9,1,5,600,1020,1300000
1,3,5,333,256,789000
2,2,4,468,554,998000
3,1,4,400,1100,1400000
1,3,5,500,600,1150000
2,2,4,315,711,770000
1,2,4,350,550,790000
2,2,4,377,581,750000
9,3,5,350,510,850000
9,2,4,437,680,910000
2,1,3,280,548,1200000
6,3,3,216,87,260000
5,3,5,556,515,950000
1,2,4,836,1650,2200000
2,3,3,350,440,630000
2,2,4,700,2370,2450000
1,3,3,350,465,740000
1,2,3,250,304,650000
3,2,4,600,1000,1150000
2,2,4,337,364,670000
9,2,4,352,1028,798000
1,2,4,362,530,760000
1,2,4,310,320,620000
1,2,4,310,320,620000
1,2,4,315,330,650000
2,2,3,420,1250,1700000
2,2,5,644,1140,1900000
1,2,4,500,1000,900000
7,4,4,540,1000,1950000
1,2,3,220,170,485000
2,2,4,670,1200,1200000
2,2,3,237,473,580000
1,2,4,500,1017,1100000
3,2,4,538,1060,1150000
7,2,4,241,300,535000
4,2,4,700,1000,990000
1,2,4,550,1240,2100000
1,1,4,700,1048,1250000
3,2,3,300,454,730000
9,2,3,250,300,550000
2,2,4,455,1464,2200000
1,2,4,400,500,850000
1,2,4,500,1000,1550000
3,2,4,300,435,1250000
2,2,5,400,1000,890000
1,2,4,600,1150,1550000
1,2,3,290,682,570000
6,2,4,600,1500,1250000
9,2,3,584,1346,1450000
2,2,4,450,600,1100000
2,2,4,468,554,998000
1,2,3,290,300,465000
1,2,5,390,801,1020000
4,2,3,518,1020,950000
2,2,3,372,1082,1300000
8,2,5,900,1508,1900000
3,2,4,300,850,950000
1,2,4,289,465,660000
4,2,4,380,700,495000
3,2,5,427,612,750000
3,3,4,390,320,740000
3,2,4,276,385,600000
3,2,3,520,600,1323000
8,2,5,900,1508,1900000
3,3,4,387,315,650000
3,3,4,387,315,650000
2,2,3,250,160,390000
2,2,5,570,1260,1400000
4,2,4,540,1000,2100000
1,2,4,500,650,1180000
2,3,4,280,240,279000
3,2,4,320,1560,1650000
7,3,5,290,250,480000
2,2,4,420,580,718000
1,2,4,500,1000,1400000
3,3,3,340,85,265000
7,2,4,392,687,1200000
2,2,3,480,1030,1250000
2,2,4,154,237,260000
3,1,5,759,1384,2300000
2,2,3,245,488,560000
2,2,3,285,700,900000
1,2,4,836,1650,2900000
1,2,4,366,495,750000
3,2,4,625,1518,1650000
3,2,4,520,1000,1600000
1,2,4,450,2350,1600000
1,2,4,435,2500,2800000
7,2,4,377,602,680000
4,2,3,300,350,750000
1,2,5,800,1200,1300000
8,2,5,762,945,1400000
7,2,5,400,600,910000
1,2,4,280,570,950000
2,2,4,400,645,820000
2,2,4,500,1464,1300000
5,2,4,500,1200,1100000
3,2,4,402,2535,2256150
2,3,5,210,123,300000
3,2,4,288,182,390000
2,2,4,390,805,1150000
1,3,4,406,633,1100000
3,3,5,302,173,325000
2,3,3,300,270,480000
7,2,4,335,475,890000
3,3,4,355,331,767000
3,3,4,375,304,767000
1,3,5,544,466,1100000
3,2,4,303,357,480000
4,2,5,780,1117,1300000
8,2,3,260,310,495000
2,2,4,290,312,450000
2,2,3,400,500,600000
3,2,3,700,1022,1300000
3,2,4,420,1000,1600000
2,2,3,277,432,595000
1,2,4,350,1000,890000
2,3,5,255,191,420000
5,3,5,490,350,680000
1,2,4,250,300,580000
9,2,4,425,633,1100000
2,4,3,290,300,509000
3,2,4,228,301,440000
3,2,4,220,300,440000
2,2,4,410,500,515000
3,2,4,500,1160,1500000
3,2,4,487,1016,1300000
3,2,3,480,1012,1350000
3,2,3,275,559,700000
3,3,4,388,315,650000
3,2,5,484,1580,1800000
7,2,5,300,820,800000
2,2,4,337,1000,890000
1,1,3,285,700,900000
